SEQ COD;DATA;BP;CLIENTE;UF;MUNICIPIO;NF;CÓDIGO;PRODUTO;QTD;R$ UN VND;VALOR;LOTE;REP;CANAL;MOTIVO;OBS;TRATATIVA;ANALISTA
4588327606;14/08/2025;27606;TOQUE DE PAPEL LIVRARIA HOBBY E PINTURA LTDA;RJ;RIO DE JANEIRO;;903365;LAPIS COR TRIS RAINBOW NEON POTE24UN; 6,00 ;;;;ZIGURATE REPRESENTACOES LTDA;UNIDADE;DEFEITO;SEM MOTIVO;ABATIMENTO;ANDREIA AGUIAR GARCIA GASPARONI
4588429661;15/08/2025;29661;PAPELARIA FRADELLI LTDA;MS;CAMPO GRANDE;156233;906670;CARIMBO AUTO DUPLO TRIS NECTAR DP 24UN; 3,00 ; 54,60 ; 163,80 ;;REALSI REPRESENTACOES LTDA;DISPLAY;DEFEITO;ESPAÇAMENTO MAIOR QUE A EMBALAGEM;DEVOLUÇÃO;ANDREIA AGUIAR GARCIA GASPARONI
4588962529;20/08/2025;62529;LANG BARRA PAPELARIA LTDA;RJ;RIO DE JANEIRO;141359;905093;CANETA GEL TRIS RAINBOW 1.0 DP 24UN; 1,00 ; 93,51 ;;;FBS REPRESENTACOES LTDA;DISPLAY;DEFEITO;CANETAS COM VAZAMENTO;SEM RETORNO;ANDREIA AGUIAR GARCIA GASPARONI
4588975498;20/08/2025;75498;ASM PRESENTES LTDA;RS;TERRA DE AREIA;;905093;CANETA GEL TRIS RAINBOW 1.0 DP 24UN; 96,00 ; 4,61 ; 442,56 ;;MAX BREUEL E CIA LTDA;DISPLAY;DEFEITO;CANETAS COM VAZAMENTO;BONIFICAÇÃO;ANDREIA AGUIAR GARCIA GASPARONI
4588985824;20/08/2025;85824;MARIANA CUBEL CESAR SALDANHA;MS;CAMPO GRANDE;151260;905024;CANETA ESF TRIS ASTRO 1.0 10CORES DP12UN; 9,00 ; 11,00 ; 99,00 ;;REALSI REPRESENTACOES LTDA;UNIDADE;DEFEITO;PROBLEMA NO SISTEMA RETRATIL NO TOPO DA CANETA;BONIFICAÇÃO;ANDREIA AGUIAR GARCIA GASPARONI
4589075784;21/08/2025;75784;GB COMERCIO E SERVICOS LTDA;SP;SAO PAULO;158221;901705;LAPIS COR BAZZE WAVE REC SEXT 24COR CJTO; 82,00 ; 4,97 ; 407,63 ;;WAGNER APARECIDO RAPOSO LTDA;UNIDADE;EXTRAVIADO;FALTA DE 2 LÁPIS POR CAIXA;SEM RETORNO;ANDREIA AGUIAR GARCIA GASPARONI
4589466009;25/08/2025;66009;COMERCIAL PLANETA BLU LTDA;SC;BLUMENAU;140640;905093;CANETA GEL TRIS RAINBOW 1.0 DP 24UN; 9,00 ; 85,15 ;;;SABRI RIBEIRO REPRESENTACOES E COME;UNIDADE;DEFEITO;CANETAS COM VAZAMENTO;ABATIMENTO;GABRIELA SOUZA DOS SANTOS
4589466009;25/08/2025;66009;COMERCIAL PLANETA BLU LTDA;SC;BLUMENAU;86145;681252;COLA BASTAO STICK ULTRA 40G SHRINK 6UN; 7,00 ; 29,20 ;;;SABRI RIBEIRO REPRESENTACOES E COME;UNIDADE;MOFADO;MOFADAS;ABATIMENTO;GABRIELA SOUZA DOS SANTOS
4589435376;25/08/2025;35376;JVETEC INFORMATICA LTDA;SC;SAO LUDGERO;155048;613031;GRAMP BAZZE B5315 50F METAL UN; 2,00 ; 21,27 ; 42,54 ;;SABRI RIBEIRO REPRESENTACOES E COME;UNIDADE;DEFEITO;TRAVAMENTO AO GRAMPEAR;ABATIMENTO;GABRIELA SOUZA DOS SANTOS
4589485941;25/08/2025;85941;MONAYRA MATIAS OLIVEIRA;RJ;MARICA;157067;910745;COPO PLASTICO TRIS HOLIC SHAKE CX 1UN; 4,00 ; 19,44 ; 77,76 ;;JJM REPRESENTACOES LTDA;UNIDADE;AVARIADO;PRODUTO TRINCADO;SEM RETORNO;ANDREIA AGUIAR GARCIA GASPARONI
4589485941;25/08/2025;85941;MONAYRA MATIAS OLIVEIRA;RJ;MARICA;154234;908605;TINTA GUACHE TRIS 250ML VD POTE; 30,00 ; 4,45 ; 133,38 ;;JJM REPRESENTACOES LTDA;UNIDADE;;SEM MOTIVO;SEM RETORNO;ANDREIA AGUIAR GARCIA GASPARONI
4589780320;28/08/2025;80320;M. L. MIRANDA GOMES LTDA;CE;MASSAPE;;901385;CANETA ESF BAZZE PRISMA 1.0 AZ CX 50UN; 30,00 ; 20,18 ; 605,40 ;;PAUTA REPRESENTACOES LTDA;CAIXA;DEFEITO;FALHA NA ESCRITA;BONIFICAÇÃO;ADRIANO FALCAO SARMENTO
